"id_circuito","ref_circuito","nombre_circuito","ubicacion","pais_circuito","latitud","longitdu","altitud","url"
1,"albert_park","Albert Park Grand Prix Circuit","Melbourne","Australia","-37.849700","144.968000",10,"http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit"
2,"sepang","Sepang International Circuit","Kuala Lumpur","Malaysia","2.760830","101.738000",18,"http://en.wikipedia.org/wiki/Sepang_International_Circuit"
3,"bahrain","Bahrain International Circuit","Sakhir","Bahrain","26.032500","50.510600",7,"http://en.wikipedia.org/wiki/Bahrain_International_Circuit"
4,"catalunya","Circuit de Barcelona-Catalunya","Montmeló","Spain","41.570000","2.261110",109,"http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya"
5,"istanbul","Istanbul Park","Istanbul","Turkey","40.951700","29.405000",130,"http://en.wikipedia.org/wiki/Istanbul_Park"
6,"monaco","Circuit de Monaco","Monte-Carlo","Monaco","43.734700","7.420560",7,"http://en.wikipedia.org/wiki/Circuit_de_Monaco"
7,"villeneuve","Circuit Gilles Villeneuve","Montreal","Canada","45.500000","-73.522800",13,"http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve"
8,"magny_cours","Circuit de Nevers Magny-Cours","Magny Cours","France","46.864200","3.163610",228,"http://en.wikipedia.org/wiki/Circuit_de_Nevers_Magny-Cours"
9,"silverstone","Silverstone Circuit","Silverstone","UK","52.078600","-1.016940",153,"http://en.wikipedia.org/wiki/Silverstone_Circuit"
10,"hockenheimring","Hockenheimring","Hockenheim","Germany","49.327800","8.565830",103,"http://en.wikipedia.org/wiki/Hockenheimring"
11,"hungaroring","Hungaroring","Budapest","Hungary","47.578900","19.248600",264,"http://en.wikipedia.org/wiki/Hungaroring"
12,"valencia","Valencia Street Circuit","Valencia","Spain","39.458900","-0.331667",4,"http://en.wikipedia.org/wiki/Valencia_Street_Circuit"
13,"spa","Circuit de Spa-Francorchamps","Spa","Belgium","50.437200","5.971390",401,"http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps"
14,"monza","Autodromo Nazionale di Monza","Monza","Italy","45.615600","9.281110",162,"http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza"
15,"marina_bay","Marina Bay Street Circuit","Marina Bay","Singapore","1.291400","103.864000",18,"http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit"
16,"fuji","Fuji Speedway","Oyama","Japan","35.371700","138.927000",583,"http://en.wikipedia.org/wiki/Fuji_Speedway"
17,"shanghai","Shanghai International Circuit","Shanghai","China","31.338900","121.220000",5,"http://en.wikipedia.org/wiki/Shanghai_International_Circuit"
18,"interlagos","Autódromo José Carlos Pace","São Paulo","Brazil","-23.703600","-46.699700",785,"http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace"
19,"indianapolis","Indianapolis Motor Speedway","Indianapolis","USA","39.795000","-86.234700",223,"http://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway"
20,"nurburgring","Nürburgring","Nürburg","Germany","50.335600","6.947500",578,"http://en.wikipedia.org/wiki/N%C3%BCrburgring"
21,"imola","Autodromo Enzo e Dino Ferrari","Imola","Italy","44.343900","11.716700",37,"http://en.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari"
22,"suzuka","Suzuka Circuit","Suzuka","Japan","34.843100","136.541000",45,"http://en.wikipedia.org/wiki/Suzuka_Circuit"
80,"vegas","Las Vegas Strip Street Circuit","Las Vegas","United States","36.114700","-115.173000",642,"https://en.wikipedia.org/wiki/Las_Vegas_Grand_Prix#Circuit"
24,"yas_marina","Yas Marina Circuit","Abu Dhabi","UAE","24.467200","54.603100",3,"http://en.wikipedia.org/wiki/Yas_Marina_Circuit"
25,"galvez","Autódromo Juan y Oscar Gálvez","Buenos Aires","Argentina","-34.694300","-58.459300",8,"http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_Alfredo_G%C3%A1lvez"
26,"jerez","Circuito de Jerez","Jerez de la Frontera","Spain","36.708300","-6.034170",37,"http://en.wikipedia.org/wiki/Circuito_Permanente_de_Jerez"
27,"estoril","Autódromo do Estoril","Estoril","Portugal","38.750600","-9.394170",130,"http://en.wikipedia.org/wiki/Aut%C3%B3dromo_do_Estoril"
28,"okayama","Okayama International Circuit","Okayama","Japan","34.915000","134.221000",266,"http://en.wikipedia.org/wiki/TI_Circuit"
29,"adelaide","Adelaide Street Circuit","Adelaide","Australia","-34.927200","138.617000",58,"http://en.wikipedia.org/wiki/Adelaide_Street_Circuit"
30,"kyalami","Kyalami","Midrand","South Africa","-25.989400","28.076700",1460,"http://en.wikipedia.org/wiki/Kyalami"
31,"donington","Donington Park","Castle Donington","UK","52.830600","-1.375280",88,"http://en.wikipedia.org/wiki/Donington_Park"
32,"rodriguez","Autódromo Hermanos Rodríguez","Mexico City","Mexico","19.404200","-99.090700",2227,"http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez"
33,"phoenix","Phoenix street circuit","Phoenix","USA","33.447900","-112.075000",345,"http://en.wikipedia.org/wiki/Phoenix_street_circuit"
34,"ricard","Circuit Paul Ricard","Le Castellet","France","43.250600","5.791670",432,"http://en.wikipedia.org/wiki/Paul_Ricard_Circuit"
35,"yeongam","Korean International Circuit","Yeongam County","Korea","34.733300","126.417000",0,"http://en.wikipedia.org/wiki/Korean_International_Circuit"
36,"jacarepagua","Autódromo Internacional Nelson Piquet","Rio de Janeiro","Brazil","-22.975600","-43.395000",1126,"http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Internacional_Nelson_Piquet"
37,"detroit","Detroit Street Circuit","Detroit","USA","42.329800","-83.040100",177,"http://en.wikipedia.org/wiki/Detroit_street_circuit"
38,"brands_hatch","Brands Hatch","Kent","UK","51.356900","0.263056",145,"http://en.wikipedia.org/wiki/Brands_Hatch"
39,"zandvoort","Circuit Park Zandvoort","Zandvoort","Netherlands","52.388800","4.540920",6,"http://en.wikipedia.org/wiki/Circuit_Zandvoort"
40,"zolder","Zolder","Heusden-Zolder","Belgium","50.989400","5.256940",36,"http://en.wikipedia.org/wiki/Zolder"
41,"dijon","Dijon-Prenois","Dijon","France","47.362500","4.899130",484,"http://en.wikipedia.org/wiki/Dijon-Prenois"
42,"dallas","Fair Park","Dallas","USA","32.777400","-96.758700",139,"http://en.wikipedia.org/wiki/Fair_Park"
43,"long_beach","Long Beach","California","USA","33.765100","-118.189000",12,"http://en.wikipedia.org/wiki/Long_Beach,_California"
44,"las_vegas","Las Vegas Street Circuit","Nevada","USA","36.116200","-115.174000",639,"http://en.wikipedia.org/wiki/Las_Vegas_Street_Circuit"
45,"jarama","Jarama","Madrid","Spain","40.617100","-3.585580",609,"http://en.wikipedia.org/wiki/Circuito_Permanente_Del_Jarama"
46,"watkins_glen","Watkins Glen","New York State","USA","42.336900","-76.927200",485,"http://en.wikipedia.org/wiki/Watkins_Glen_International"
47,"anderstorp","Scandinavian Raceway","Anderstorp","Sweden","57.265300","13.604200",153,"http://en.wikipedia.org/wiki/Scandinavian_Raceway"
48,"mosport","Mosport International Raceway","Ontario","Canada","44.048100","-78.675600",332,"http://en.wikipedia.org/wiki/Mosport"
49,"montjuic","Montjuïc","Barcelona","Spain","41.366400","2.151670",79,"http://en.wikipedia.org/wiki/Montju%C3%AFc_circuit"
50,"nivelles","Nivelles-Baulers","Brussels","Belgium","50.621100","4.326940",139,"http://en.wikipedia.org/wiki/Nivelles-Baulers"
51,"charade","Charade Circuit","Clermont-Ferrand","France","45.747200","3.038890",790,"http://en.wikipedia.org/wiki/Charade_Circuit"
52,"tremblant","Circuit Mont-Tremblant","Quebec","Canada","46.187700","-74.609900",214,"http://en.wikipedia.org/wiki/Circuit_Mont-Tremblant"
53,"essarts","Rouen-Les-Essarts","Rouen","France","49.330600","1.004580",81,"http://en.wikipedia.org/wiki/Rouen-Les-Essarts"
54,"lemans","Le Mans","Le Mans","France","47.950000","0.224231",67,"http://en.wikipedia.org/wiki/Circuit_de_la_Sarthe#Bugatti_Circuit"
55,"reims","Reims-Gueux","Reims","France","49.254200","3.930830",88,"http://en.wikipedia.org/wiki/Reims-Gueux"
56,"george","Prince George Circuit","Eastern Cape Province","South Africa","-33.048600","27.873600",15,"http://en.wikipedia.org/wiki/Prince_George_Circuit"
57,"zeltweg","Zeltweg","Styria","Austria","47.203900","14.747800",676,"http://en.wikipedia.org/wiki/Zeltweg_Airfield"
58,"aintree","Aintree","Liverpool","UK","53.476900","-2.940560",20,"http://en.wikipedia.org/wiki/Aintree_Motor_Racing_Circuit"
59,"boavista","Circuito da Boavista","Oporto","Portugal","41.170500","-8.673250",28,"http://en.wikipedia.org/wiki/Circuito_da_Boavista"
60,"riverside","Riverside International Raceway","California","USA","33.937000","-117.273000",470,"http://en.wikipedia.org/wiki/Riverside_International_Raceway"
61,"avus","AVUS","Berlin","Germany","52.480600","13.251400",53,"http://en.wikipedia.org/wiki/AVUS"
62,"monsanto","Monsanto Park Circuit","Lisbon","Portugal","38.719700","-9.203060",158,"http://en.wikipedia.org/wiki/Monsanto_Park_Circuit"
63,"sebring","Sebring International Raceway","Florida","USA","27.454700","-81.348300",18,"http://en.wikipedia.org/wiki/Sebring_Raceway"
64,"ain-diab","Ain Diab","Casablanca","Morocco","33.578600","-7.687500",19,"http://en.wikipedia.org/wiki/Ain-Diab_Circuit"
65,"pescara","Pescara Circuit","Pescara","Italy","42.475000","14.150800",129,"http://en.wikipedia.org/wiki/Pescara_Circuit"
66,"bremgarten","Circuit Bremgarten","Bern","Switzerland","46.958900","7.401940",551,"http://en.wikipedia.org/wiki/Circuit_Bremgarten"
67,"pedralbes","Circuit de Pedralbes","Barcelona","Spain","41.390300","2.116670",85,"http://en.wikipedia.org/wiki/Pedralbes_Circuit"
68,"buddh","Buddh International Circuit","Uttar Pradesh","India","28.348700","77.533100",194,"http://en.wikipedia.org/wiki/Buddh_International_Circuit"
69,"americas","Circuit of the Americas","Austin","USA","30.132800","-97.641100",161,"http://en.wikipedia.org/wiki/Circuit_of_the_Americas"
70,"red_bull_ring","Red Bull Ring","Spielberg","Austria","47.219700","14.764700",678,"http://en.wikipedia.org/wiki/Red_Bull_Ring"
71,"sochi","Sochi Autodrom","Sochi","Russia","43.405700","39.957800",2,"http://en.wikipedia.org/wiki/Sochi_Autodrom"
73,"baku","Baku City Circuit","Baku","Azerbaijan","40.372500","49.853300",-7,"http://en.wikipedia.org/wiki/Baku_City_Circuit"
75,"portimao","Autódromo Internacional do Algarve","Portimão","Portugal","37.227000","-8.626700",108,"http://en.wikipedia.org/wiki/Algarve_International_Circuit"
76,"mugello","Autodromo Internazionale del Mugello","Mugello","Italy","43.997500","11.371900",255,"http://en.wikipedia.org/wiki/Mugello_Circuit"
77,"jeddah","Jeddah Corniche Circuit","Jeddah","Saudi Arabia","21.631900","39.104400",15,"http://en.wikipedia.org/wiki/Jeddah_Street_Circuit"
78,"losail","Losail International Circuit","Al Daayen","Qatar","25.490000","51.454200",12,"http://en.wikipedia.org/wiki/Losail_International_Circuit"
79,"miami","Miami International Autodrome","Miami","USA","25.958100","-80.238900",0,"http://en.wikipedia.org/wiki/Miami_International_Autodrome"
